accountsreceivableall,accountsreceivablecollections,accountsreceivableguest,accountsreceivableinsurance,accountsreceivablepatient,arcaptureratebybilling,arcaptureratebybillingdenominator,arcaptureratebybillingnumerator,arcaptureratebyorder,arcaptureratebyorderdenominator,arcaptureratebyordernumerator,contactlenscapturerate,contactlenscaptureratedenominator,contactlenscaptureratenumerator,contactlenssales,eyeglasscaptureratebybilling,eyeglasscaptureratebybillingdenominator,eyeglasscaptureratebybillingnumerator,eyeglasscaptureratebyorder,eyeglasscaptureratebyorderdenominator,eyeglasscaptureratebyordernumerator,medicalmanagementratio,medicalmanagementratiodenominator,medicalmanagementrationumerator,newpatientpercentage,newpatientpercentagedenominator,newpatientpercentagenumerator,patientage0to9,patientage100to109,patientage10to19,patientage110to119,patientage20to29,patientage30to39,patientage40to49,patientage50to59,patientage60to69,patientage70to79,patientage80to89,patientage90to99,patientgenderfemale,patientgendermale,patientgenderunknown,productionbooked,productionbookeddenominator,productionbookednumerator,productioncompleted,productioncompleteddenominator,productioncompletednumerator,ratio9921x,ratio9921xdenominator,ratio9921xnumerator,receiptsbyproviderall,receiptsbyprovidercollections,receiptsbyproviderguest,receiptsbyproviderinsurance,receiptsbyproviderpatient,salesbyproviderall,salesbyproviderguest,salesbyproviderinsurance,salesbyproviderpatient
9404556.84,0,0,1032354.64,8372202.2,0.006934643,16295,113,0.006798336,17063,116,0.325878594,313,102,23694.01,0.890536602,11666,10389,0.892250986,11666,10409,0.384607533,19594,7536,0.355151777,18547,6587,8902,1,11886,2,936,317,206,113,68,16,4,0,11547,10906,0,0.413044313,52084,21513,0.322171876,52084,16780,0.053544495,1326,71,4643814.86,0,0,4524167.12,119647.74,5714508.79,0,4592258.54,1122250.25
1055482.84,0,0,1031003.82,24479.02,0,10,0,0,11,0,0,430,0,40382,0,169,0,0,169,0,0.326737452,2072,677,0.510784314,2040,1042,49,0,256,0,470,394,361,397,248,94,20,1,1243,984,63,0,0,0,0,0,0,8.333333333,15,125,185601.2,0,0,4467,181134.2,337341.59,0,83,337258.59
1117853.63,33868.6,0,1020491.13,63493.9,0.252242457,3679,928,0.257710936,3923,1011,0.742331288,978,726,183736.76,0.550745209,4227,2328,0.557605867,4227,2357,0.415406332,4959,2060,0.399520575,5006,2000,383,1,1383,0,762,667,900,1278,1086,578,200,43,4267,3011,4,0.636268344,9540,6070,0.551572327,9540,5262,0.677902622,267,181,1077378.71,255.28,0,410532.57,666590.86,1047886.22,0,632044.46,404732.72
1035005.9,0,0,1018980.5,16025.4,0,0,0,0.005347594,374,2,0,138,0,0,0,2081,0,0,2081,0,0.029563932,1353,40,0.995454545,1980,1971,202,1,591,0,318,243,263,296,134,53,13,2,1236,880,0,0,1,0,0,1,0,0,0,0,81168.3,0,0,10,81158.3,257675.04,0,176310,81365.04
1052357.09,1592.39,331,1010111.09,40322.61,0.831831832,333,277,0.829971182,347,288,0.745327103,428,319,144850.51,0.216632444,974,211,0.218685832,974,213,0.30632716,1296,397,0.194467046,1229,239,7,0,33,0,246,380,389,312,134,26,5,1,790,743,0,0.849636217,1237,1051,0.771220695,1237,954,0.482993197,147,71,433121.18,0,289,83957.29,348874.89,486624.65,299,340783.35,145542.3
1085685.79,37612.56,0,1008386.11,39687.12,0.261203585,3124,816,0.264472882,3282,868,0.746331237,954,712,177432.07,0.480141458,3676,1765,0.483949946,3676,1779,0.447751466,4603,2061,0.345932095,4683,1620,555,3,1284,1,669,557,749,1160,1080,627,203,42,4163,2762,7,0.560885975,10068,5647,0.490564164,10068,4939,0.816155989,359,293,1035667.47,3167.28,0,351307.85,681192.34,1070296.81,0,615510.63,449730.61
1084512.23,0,0,1006799.63,77712.6,0.70781893,243,172,0.670498084,261,175,0.523178808,151,79,28982.87,0.318604651,430,137,0.318604651,430,137,0.054968288,473,26,0.454716981,530,241,31,0,88,0,64,82,140,117,80,17,7,2,378,250,0,0.772727273,748,578,0.740641711,748,554,0,5,0,167744.62,0,0,64594.67,103149.95,108440.8,0,69352.91,39087.89
1111588.1,0,0,1001576.37,110011.73,0.268599771,2621,704,0.266312057,2820,751,0.466165414,266,124,28089.3,0.586454183,3765,2208,0.59309429,3765,2233,0.835588235,6800,5682,0.152211283,6399,974,302,1,634,7,679,489,757,1399,1643,1087,451,82,4545,2980,6,0.54902772,9668,5308,0.439801407,9668,4252,0.232888889,2250,524,413043.9,0,0,265389.82,147654.08,671827.41,0,40653.99,631173.42
1077105.41,0,0,998148.85,78956.56,0.709677419,186,132,0.698979592,196,137,0.62745098,153,96,36192.58,0.333333333,366,122,0.333333333,366,122,0.068877551,392,27,0.529691211,421,223,27,0,68,0,63,87,111,80,56,23,12,1,319,209,0,0.675141243,708,478,0.65819209,708,466,0,3,0,98578.19,0,0,17649.47,80928.72,170233.83,0,138472.56,31761.27
1093108.5,0,0,995564.59,97543.91,0,0,0,0,1,0,0.319444444,144,46,43699.91,0,649,0,0,649,0,0.335144928,1656,555,0.316185696,1594,504,206,0,396,0,184,219,266,303,288,138,44,10,1267,786,3,0.762589928,1807,1378,0.60320974,1807,1090,0.08988764,356,32,262026.86,0,0,109236.61,152790.25,375877.48,0,281766.15,94111.33
1026985.19,1592.39,316,995066.88,30009.92,0.870824053,449,391,0.871179039,458,399,0.763092269,401,306,127003.5,0.263467189,1021,269,0.263467189,1021,269,0.28042328,1323,371,0.179056755,1251,224,15,0,36,0,215,428,464,328,157,26,2,0,841,830,0,0.827483196,1339,1108,0.725168036,1339,971,0.503759398,133,67,585531.01,274.97,375.49,220590.22,364290.33,271618.53,375.49,95216.26,176026.78
1174581.18,0,0,992689.28,181891.9,0.293736159,6322,1857,0.296492289,6614,1961,0.657563025,1428,939,203920.49,0.595278029,7751,4614,0.59760031,7751,4632,0.359249646,8476,3045,0.273833197,8549,2341,942,1,2208,0,1401,1325,1457,1619,1318,705,210,38,6605,4607,17,0.836923568,12534,10490,0.725067816,12534,9088,0.297723292,571,170,2025246.16,0,0,972669.66,1052576.5,2158930.75,0,1619633.39,539297.36
997770.41,0,0,989020.82,8749.59,0.77124183,459,354,0.77,500,385,0.7,210,147,79800.5,0.43485342,614,267,0.438110749,614,269,0,688,0,0.297407913,733,218,70,0,131,2,121,165,167,186,110,24,3,3,558,429,2,0.39703628,1957,777,0.374552887,1957,733,0,0,0,283112.8,0,0,3418.85,279693.95,507954.76,0,375958.24,131996.52
1047267.92,0,0,986141.28,61126.64,0.91195795,761,694,0.904820766,809,732,0.574579832,952,547,198563.66,0.267927502,1269,340,0.27107959,1269,344,0.375,1504,564,0.244701349,1557,381,24,0,52,5,270,658,522,415,143,36,4,0,1080,1041,9,0.666538165,2594,1729,0.636854279,2594,1652,0.20625,160,33,547233.59,0,10,10942.54,536281.05,985805.06,10,714799.42,270995.64
1046657.56,0,0,980053.4,66604.16,0.181081725,4197,760,0.186243859,4478,834,0.597633136,507,303,102451.76,0.614673243,3244,1994,0.621763255,3244,2017,0.148537565,5231,777,0.349571836,5255,1837,594,1,1706,0,663,626,736,1006,921,526,159,39,4309,2666,8,0.618169126,10028,6199,0.505584364,10028,5070,0.050420168,238,12,969804.77,0,0,485277.34,484527.43,1354649.91,0,999893.66,354756.25
991817.49,0,0,977989.63,13827.86,0.627118644,118,74,0.630252101,119,75,0.485915493,142,69,24406.58,0.218461538,325,71,0.218461538,325,71,0.544159544,351,191,0.174934726,383,67,5,0,26,0,46,29,70,111,110,66,16,1,295,185,0,0.689655172,609,420,0.633825944,609,386,0.55,20,11,79416.6,0,0,1370.16,78046.44,151872.9,0,93983.32,57889.58
1105092.63,0,0,972340.48,132752.15,0.252790871,4031,1019,0.255070389,4191,1069,0.492791612,763,376,100040.97,0.58226769,3519,2049,0.584541063,3519,2057,0.167929293,4752,798,0.328688525,4880,1604,581,0,1176,0,615,647,792,1086,1123,620,193,20,4239,2612,6,0.618517305,9159,5665,0.527022601,9159,4827,0.066091954,348,23,1294853.95,0,0,789118.95,505735,893998.98,0,564462.36,329536.62
979497.16,0,0,971005.7,8491.46,0.446555819,421,188,0.441314554,426,188,0.752212389,113,85,19718.5,0.552795031,483,267,0.552795031,483,267,0,442,0,0.342541436,543,186,35,0,125,0,116,74,89,109,53,21,9,4,374,262,0,0.44819647,1303,584,0.384497314,1303,501,0,0,0,74070.81,0,0,2775.85,71294.96,215967.8,0,182599.95,33367.85
1052712.41,35724.27,0,969572.79,47415.35,0.264579497,3258,862,0.268561485,3448,926,0.757575758,1056,800,184627.97,0.500381388,3933,1968,0.505466565,3933,1988,0.466050709,4654,2169,0.360679815,4766,1719,376,0,1139,1,710,613,866,1236,1143,593,204,49,4139,2786,7,0.581262525,9980,5801,0.50501002,9980,5040,0.66557377,305,203,1075593.61,1747.38,0,397929.29,675916.94,1007949.82,0,568616.57,435730.2
1037131.75,0,0,966336.32,70795.43,0.330727316,4221,1396,0.328043528,4411,1447,0.627639155,1042,654,130738.12,0.445636144,7459,3324,0.448317469,7459,3344,0.384035874,5575,2141,0.211692845,5730,1213,759,0,1883,1,1139,1035,1086,1283,950,498,122,22,5211,3547,22,0.612192182,11614,7110,0.50404684,11614,5854,0.311377246,334,104,985828.53,0,0,266948.17,718880.36,2029554.28,0,1657515.58,372038.7
1059358.27,5995.13,0,966137.06,87226.08,0.728385467,5147,3749,0.714545154,6057,4328,0.679831661,3089,2100,674584.17,0.345882353,9775,3381,0.367672634,9775,3594,0.348137289,11596,4037,0.248472164,11945,2968,645,2,2048,3,1541,1649,2167,2629,2270,1457,555,118,8986,6099,3,0.755186722,18798,14196,0.678316842,18798,12751,1.424507659,914,1302,3797414.83,1020.31,0,1017358.45,2779036.07,3941211.98,0,2265984.38,1672887.89
8333945.27,0,0,964781.48,7369163.79,0.006291175,16849,106,0.006278897,17519,110,0.303571429,224,68,20964.91,0.898798749,12154,10924,0.899703801,12154,10935,0.388127618,19339,7506,0.36112794,18157,6557,8151,1,12359,2,1109,308,225,133,60,9,2,0,11671,10690,0,0.395355452,49219,19459,0.318251082,49219,15664,0.05093633,1335,68,4419261.53,0,0,4293015.47,126246.06,5606872,0,4425284.36,1181587.64
998853.62,1592.39,321,964631.2,32309.03,0.876857749,471,413,0.871900826,484,422,0.735694823,367,270,127716.49,0.243339254,1126,274,0.244227353,1126,275,0.263888889,1368,361,0.178544061,1305,233,8,0,40,0,198,440,446,372,159,36,3,0,850,852,0,0.875928678,1346,1179,0.795690936,1346,1071,0.483050847,118,57,522328.92,0,366,125611.12,396351.8,494197.35,371,329732.81,164093.54
982958.01,0,0,964321.96,18636.05,0.748081841,782,585,0.750906892,827,621,0.682274247,299,204,66848.2,0.398665555,1199,478,0.402001668,1199,482,0.216237315,1281,277,0.248693055,1339,333,62,0,212,0,202,251,255,288,252,154,35,6,1027,689,2,0.689530686,1939,1337,0.614234141,1939,1191,0.916666667,48,44,351691.34,0,0,33562.33,318129.01,596406.16,0,425216.17,171189.99
1102695.18,0,2193.82,963415.67,137085.69,0.139705882,272,38,0.138790036,281,39,0.821428571,112,92,14924.58,0.389452333,493,192,0.389452333,493,192,0.415902141,654,272,0.293640054,739,217,92,0,145,2,85,84,123,130,119,113,39,2,544,390,0,0.75462963,1080,815,0.639814815,1080,691,2.612903226,31,81,98828.85,0,599.14,46738.23,51491.48,178591.49,599.14,128464.96,49527.39
1000624.97,0,0,960438.62,40186.35,0.087463557,343,30,0.065677966,472,31,0.769230769,78,60,65198.75,0.253424658,146,37,0.253424658,146,37,0.262368208,2466,647,0.370629371,2574,954,114,1,620,7,478,474,530,722,435,194,54,6,2071,1565,1,0.664845969,4577,3043,0.57745248,4577,2643,0,284,0,323863.72,0,0,78907.89,244955.83,728920.83,0,538011.13,190909.7
1103665.04,0,0,957098.16,146566.88,0.209041468,2942,615,0.20958279,3068,643,0.333333333,291,97,29328.59,0.503793627,3954,1992,0.505058169,3954,1997,0.843072028,6914,5829,0.131332931,6632,871,365,0,656,7,639,512,809,1420,1714,1066,393,66,4636,3007,4,0.614042208,9856,6052,0.505073052,9856,4978,0.285957447,2350,672,568997.89,0,0,416375.7,152622.19,719267.64,0,18566.91,700700.73
1035703.92,0,0,952946.91,82757.01,0.785091421,3555,2791,0.792964374,4463,3539,0.675688509,2106,1423,452807.5,0.283630098,8705,2469,0.295462378,8705,2572,0.30331575,7962,2415,0.262714965,8199,2154,430,4,2028,1,1451,1449,2041,2371,1942,1323,487,94,8225,5389,9,0.768606225,13302,10224,0.687640956,13302,9147,2.034188034,468,952,2619467.24,0,0,656519.12,1962948.12,2603793.16,0,1617987.94,985805.22
957812,0,0,945768.84,12043.16,0.256716418,670,172,0.261313869,685,179,0.73015873,126,92,17046.78,0.610981308,856,523,0.612149533,856,524,0.014573991,892,13,0.680479826,917,624,99,0,324,0,81,84,114,93,115,134,39,4,627,461,0,0.81724392,1357,1109,0.703021371,1357,954,0,9,0,77207.25,0,0,0,77207.25,302789.43,0,254390.93,48398.5
997446.02,80,0,942819.69,54546.33,0.898395722,374,336,0.833333333,414,345,0.48655914,372,181,76358.5,0.206349206,945,195,0.206349206,945,195,0.006763285,1035,7,0.162875341,1099,179,25,0,165,0,184,188,261,352,217,81,9,0,870,609,3,0.693831353,1767,1226,0.65704584,1767,1161,0.240506329,79,19,296394.05,0,0,43907.07,252486.98,415565.28,0,226868.74,188696.54
1012459.09,0,0,939181.77,73277.32,0.522077922,385,201,0.518041237,388,201,0.760368664,217,165,37885.3,0.503436426,582,293,0.503436426,582,293,0.605504587,654,396,0.144285714,700,101,33,0,120,1,96,84,117,166,144,79,36,4,491,389,0,1,1,1,1,1,1,0,61,0,157525.73,0,0,10794.71,146731.02,260434.11,0,125710.64,134723.47
1042348.34,0,0,934073.21,108275.13,0.129735083,4039,524,0.10301749,5203,536,0.597758406,1606,960,176315.72,0.379264313,6742,2557,0.479827944,6742,3235,0.523309869,7529,3940,0.235409652,7128,1678,356,2,1461,0,842,856,1228,1607,1893,1737,812,115,6546,4363,0,0.908735914,8963,8145,0.698650006,8963,6262,2.844117647,680,1934,1789030.01,0,0,717025.85,1072004.16,1992520.97,0,1391926.95,600594.02
966144.6,1371.45,0,930408.55,34364.6,0.125858124,437,55,0.124183007,459,57,0.789808917,157,124,26288.75,0.539047619,525,283,0.544761905,525,286,0.787701318,683,538,0.12519084,655,82,17,0,101,0,74,54,83,149,171,95,35,5,452,330,2,0,0,0,0,0,0,1.086419753,81,88,89638.1,41.25,0,5031.14,84565.71,240678.78,0,153850.61,86828.17
1005517.87,0,0,930135.22,75382.65,0.709359606,203,144,0.710280374,214,152,0.657718121,149,98,37582.21,0.307086614,381,117,0.307086614,381,117,0.103864734,414,43,0.528735632,435,230,27,0,74,0,61,80,106,91,55,23,11,1,315,214,0,0.720694645,691,498,0.713458755,691,493,0,15,0,94442.2,0,0,8291.98,86150.22,189527.24,0,145591.66,43935.58
